Date,Open,High,Low,Close,Volume
5/10/2018,46.935001,47.592499,46.912498,47.509998,111957200
5/11/2018,47.372501,47.514999,46.862499,47.147499,104848800
5/14/2018,47.252499,47.3825,46.965,47.037498,83115200
5/15/2018,46.695,46.767502,46.275002,46.610001,94780800
5/16/2018,46.517502,47.115002,46.5,47.044998,76732400
5/17/2018,47,47.227501,46.59,46.747501,69176000
5/18/2018,46.797501,46.952499,46.532501,46.577499,73190800
5/21/2018,47,47.317501,46.727501,46.907501,73603200
5/22/2018,47.095001,47.220001,46.695,46.790001,60962800
5/23/2018,46.587502,47.125,46.439999,47.09,80233600
5/24/2018,47.192501,47.209999,46.552502,47.037498,92936000
5/25/2018,47.057499,47.412498,46.912498,47.145,69844000
5/29/2018,46.900002,47.1875,46.717499,46.974998,90056400
5/30/2018,46.93,47,46.695,46.875,74762000
5/31/2018,46.805,47.057499,46.535,46.717499,109931200
6/1/2018,46.997501,47.564999,46.9375,47.560001,93770000
6/4/2018,47.91,48.355,47.837502,47.9575,105064800
6/5/2018,48.267502,48.485001,48.09,48.327499,86264000
6/6/2018,48.407501,48.52,47.98,48.494999,83734400
6/7/2018,48.535,48.549999,48.084999,48.365002,85388800
6/8/2018,47.7925,48,47.442501,47.924999,106627200
6/11/2018,47.837502,47.9925,47.552502,47.807499,73234000
6/12/2018,47.8475,48.1525,47.787498,48.07,67644400
6/13/2018,48.105,48.220001,47.610001,47.674999,86553600
6/14/2018,47.887501,47.892502,47.555,47.700001,86440400
6/15/2018,47.5075,47.540001,47.064999,47.209999,246876800
6/18/2018,46.970001,47.305,46.799999,47.185001,73939600
6/19/2018,46.285,46.5825,45.862499,46.422501,134314000
6/20/2018,46.587502,46.799999,46.432499,46.625,82514800
6/21/2018,46.8125,47.087502,46.235001,46.365002,102847600
6/22/2018,46.529999,46.537498,46.174999,46.23,108801600
6/25/2018,45.849998,46.23,45.182499,45.5425,126652400
6/26/2018,45.747501,46.6325,45.634998,46.107498,98276800
6/27/2018,46.307499,46.82,46.0075,46.040001,101141200
6/28/2018,46.025002,46.552502,45.950001,46.375,69460800
6/29/2018,46.572498,46.797501,45.727501,46.2775,90950800
7/2/2018,45.955002,46.825001,45.855,46.794998,70925200
7/3/2018,46.947498,46.987499,45.884998,45.98,55819200
7/5/2018,46.314999,46.602501,46.07,46.349998,66416800
7/6/2018,46.355,47.107498,46.299999,46.9925,69940800
7/9/2018,47.375,47.669998,47.325001,47.645,79026400
7/10/2018,47.677502,47.82,47.544998,47.587502,63756400
7/11/2018,47.125,47.445,46.9025,46.970001,75326000
7/12/2018,47.3825,47.852501,47.327499,47.7575,72164400
7/13/2018,47.77,47.959999,47.724998,47.8325,50055600
7/16/2018,47.880001,48.162498,47.605,47.727501,60172400
7/17/2018,47.4375,47.967499,47.299999,47.862499,62138000
7/18/2018,47.945,47.950001,47.482498,47.599998,65573600
7/19/2018,47.422501,48.137501,47.422501,47.970001,81147200
7/20/2018,47.945,48.107498,47.5425,47.860001,82704800
7/23/2018,47.669998,47.990002,47.389999,47.9025,63957600
7/24/2018,48.112499,48.415001,48.012501,48.25,74791600
7/25/2018,48.264999,48.712502,48.107498,48.705002,66839600
7/26/2018,48.6525,48.990002,48.4025,48.552502,76304000
7/27/2018,48.747501,48.797501,47.525002,47.744999,96096000
7/30/2018,47.974998,48.049999,47.267502,47.477501,84118000
7/31/2018,47.575001,48.035,47.334999,47.572498,157492000
8/1/2018,49.782501,50.439999,49.327499,50.375,271742800
8/2/2018,50.145,52.095001,50.087502,51.8475,249616000
8/3/2018,51.7575,52.185001,51.369999,51.997501,133789600
8/6/2018,52,52.3125,51.767502,52.267502,101701600
8/7/2018,52.330002,52.375,51.689999,51.7775,102349600
8/8/2018,51.512501,51.952499,51.130001,51.8125,90102000
